drug_internal_id,drug_id,drug_name,effect_id,effect_name,efo_id,efo_term,indication_phase,num_references
111185,CHEMBL1000,CETIRIZINE,D005132,Eye Manifestations,EFO:0005751,eye allergy,4,1
111185,CHEMBL1000,CETIRIZINE,D006967,Hypersensitivity,MONDO:0005271,allergic disease,4,1
165474,CHEMBL100116,PENTAZOCINE,D010146,Pain,EFO:0003843,pain,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D007239,Infections,EFO:0000544,infection,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D010033,Otitis Media,EFO:0004992,Otitis media,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D010033,Otitis Media,MONDO:0024330,infectious otitis media,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D011014,Pneumonia,EFO:0003106,pneumonia,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D012141,Respiratory Tract Infections,MONDO:0024355,respiratory tract infectious disorder,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D012852,Sinusitis,EFO:0007486,sinusitis,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D014552,Urinary Tract Infections,EFO:0003103,urinary tract infection,4,1
111491,CHEMBL1003,CLAVULANATE POTASSIUM,D018461,Soft Tissue Infections,,,4,1
112480,CHEMBL1006,AMIFOSTINE,D006258,Head and Neck Neoplasms,EFO:0006859,head and neck malignant neoplasia,4,1
112480,CHEMBL1006,AMIFOSTINE,D006258,Head and Neck Neoplasms,MONDO:0021310,malignant tumor of neck,4,1
112480,CHEMBL1006,AMIFOSTINE,D010051,Ovarian Neoplasms,MONDO:0008170,ovarian cancer,4,1
112480,CHEMBL1006,AMIFOSTINE,D014987,Xerostomia,EFO:0009869,xerostomia,4,1
112651,CHEMBL1008,BEPRIDIL,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
112655,CHEMBL1009,LEVODOPA,D010300,Parkinson Disease,MONDO:0005180,Parkinson disease,4,1
12417,CHEMBL101,PHENYLBUTAZONE,D012216,Rheumatic Diseases,EFO:0005755,rheumatic disease,4,1
12417,CHEMBL101,PHENYLBUTAZONE,D018771,Arthralgia,HP:0002829,Arthralgia,4,1
12417,CHEMBL101,PHENYLBUTAZONE,D063806,Myalgia,HP:0003326,Myalgia,4,1
112665,CHEMBL1010,CEFOTAXIME SODIUM,D006069,Gonorrhea,DOID:7551,gonorrhea,4,1
112665,CHEMBL1010,CEFOTAXIME SODIUM,D007239,Infections,EFO:0000544,infection,4,1
112665,CHEMBL1010,CEFOTAXIME SODIUM,D011014,Pneumonia,EFO:0003106,pneumonia,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D000787,Angina Pectoris,EFO:0003913,angina pectoris,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D006333,Heart Failure,EFO:0000373,congestive heart failure,4,1
