drug_internal_id,drug_id,drug_name,mechanism_id,mechanism_of_action,action_type,target_internal_id,target_id,target_name,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment
111491,CHEMBL1003,CLAVULANATE POTASSIUM,1667,Bacterial beta-lactamase TEM inhibitor,INHIBITOR,106170.0,CHEMBL2364670,Beta-lactamase TEM,1,1,1,,Broad spectrum
112480,CHEMBL1006,AMIFOSTINE,2167,Reactive metabolite scavenging agent,,,,,1,1,1,Prodrug. Scavenge of reactive oxygen species and reactive metabolites of cisplatin,
112655,CHEMBL1009,LEVODOPA,246,Dopamine D3 receptor agonist,AGONIST,130.0,CHEMBL234,D(3) dopamine receptor,1,1,1,,
12417,CHEMBL101,PHENYLBUTAZONE,1205,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
112665,CHEMBL1010,CEFOTAXIME SODIUM,1722,Bacterial penicillin-binding protein inhibitor,INHIBITOR,105683.0,CHEMBL2354204,Bacterial penicillin-binding protein,1,1,1,,
116349,CHEMBL1014,CANDESARTAN CILEXETIL,225,Type-1 angiotensin II receptor antagonist,ANTAGONIST,115.0,CHEMBL227,Type-1 angiotensin II receptor,1,1,1,,
116949,CHEMBL1017,TELMISARTAN,227,Type-1 angiotensin II receptor antagonist,ANTAGONIST,115.0,CHEMBL227,Type-1 angiotensin II receptor,1,1,1,,
117108,CHEMBL1018,DIENESTROL,863,Estrogen receptor alpha agonist,AGONIST,19.0,CHEMBL206,Estrogen receptor,1,1,1,,
119162,CHEMBL1021,NEPAFENAC,1183,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
119498,CHEMBL1023,BEXAROTENE,1576,Retinoid X receptor agonist,AGONIST,105765.0,CHEMBL2363070,Retinoid X receptor,1,1,1,,
119640,CHEMBL1024,IFOSFAMIDE,1869,DNA inhibitor,INHIBITOR,105574.0,CHEMBL2311221,DNA,1,1,1,,
119717,CHEMBL1025,ISOFLUROPHATE,742,Acetylcholinesterase inhibitor,INHIBITOR,93.0,CHEMBL220,Acetylcholinesterase,1,1,1,,
121124,CHEMBL1026,FENOLDOPAM MESYLATE,851,Dopamine D1 receptor agonist,AGONIST,88.0,CHEMBL2056,D(1A) dopamine receptor,1,1,1,,
122901,CHEMBL1029,MIGLUSTAT,853,Ceramide glucosyltransferase inhibitor,INHIBITOR,286.0,CHEMBL2063,Ceramide glucosyltransferase,1,1,1,,
12825,CHEMBL103,PROGESTERONE,1018,Progesterone receptor agonist,AGONIST,36.0,CHEMBL208,Progesterone receptor,1,1,1,,
123693,CHEMBL1034,DICLOFENAC SODIUM,1176,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
13494,CHEMBL104,CLOTRIMAZOLE,1442,Cytochrome P450 51 inhibitor,INHIBITOR,58.0,CHEMBL1780,Lanosterol 14-alpha demethylase,1,1,1,"Has also been implicated as a therapy for sickle cell anemia, by inhibiting the gardos channel, causing dehydration of the cells (PMID: 8636434)",
125294,CHEMBL1042,CHOLECALCIFEROL,515,Vitamin D receptor agonist,AGONIST,64.0,CHEMBL1977,Vitamin D3 receptor,1,1,1,,
