drug_internal_id,drug_id,drug_name,warning_type,warning_class,warning_description,efo_id,efo_term,warning_year,warning_country
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,,severe adverse reactions,EFO:0009658,adverse effect,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,drug misuse,Off-Label Abuse; Hematologic Toxicity,MONDO:0002491,substance abuse,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,hematological toxicity,aplastic anaemia and agranulocytosis,HP:0012234,Agranulocytosis,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,hematological toxicity,Off-Label Abuse; Hematologic Toxicity,EFO:0011051,hematological toxicity,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,hematological toxicity,aplastic anaemia and agranulocytosis,HP:0001915,Aplastic anemia,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
12417,CHEMBL101,PHENYLBUTAZONE,Withdrawn,,toxicity,,,1984.0,Malaysia; United Arab Emirates; Ethiopia; Jordan; Germany; Chile; Bangladesh; Ghana; Sri Lanka; Bahrain; Armenia
116349,CHEMBL1014,CANDESARTAN CILEXETIL,Black Box Warning,teratogenicity,,,,,United States
116349,CHEMBL1014,CANDESARTAN CILEXETIL,Black Box Warning,cardiotoxicity,,,,,United States
116949,CHEMBL1017,TELMISARTAN,Black Box Warning,teratogenicity,,,,,United States
116949,CHEMBL1017,TELMISARTAN,Black Box Warning,cardiotoxicity,,,,,United States
117108,CHEMBL1018,DIENESTROL,Withdrawn,carcinogenicity,Suspected carcinogenicity in newborns following prenatal exposure,EFO:0011046,carcinogenicity,1979.0,Italy
119498,CHEMBL1023,BEXAROTENE,Black Box Warning,teratogenicity,,,,,United States
119640,CHEMBL1024,IFOSFAMIDE,Black Box Warning,neurotoxicity,,,,,United States
119640,CHEMBL1024,IFOSFAMIDE,Black Box Warning,nephrotoxicity,,,,,United States
119640,CHEMBL1024,IFOSFAMIDE,Black Box Warning,hematological toxicity,,,,,United States
12825,CHEMBL103,PROGESTERONE,Black Box Warning,cardiotoxicity,,,,,United States
12825,CHEMBL103,PROGESTERONE,Black Box Warning,vascular toxicity,,,,,United States
12825,CHEMBL103,PROGESTERONE,Black Box Warning,neurotoxicity,,,,,United States
12825,CHEMBL103,PROGESTERONE,Black Box Warning,respiratory toxicity,,,,,United States
12825,CHEMBL103,PROGESTERONE,Black Box Warning,carcinogenicity,,,,,United States
123693,CHEMBL1034,DICLOFENAC SODIUM,Black Box Warning,gastrointestinal toxicity,,,,,United States
