drug_internal_id,drug_id,drug_name,protein_internal_id,protein_id,protein_name,pchembl_max,pchembl_avg,best_value,num_measurements,confidence
111185,CHEMBL1000,CETIRIZINE,127,CHEMBL231,Histamine H1 receptor,8.23,7.5,5.89,12,9
111185,CHEMBL1000,CETIRIZINE,102,CHEMBL1941,Histamine H2 receptor,5.73,5.73,1851.4,1,8
111185,CHEMBL1000,CETIRIZINE,107,CHEMBL224,5-hydroxytryptamine receptor 2A,5.67,5.67,2117.8,1,8
165474,CHEMBL100116,PENTAZOCINE,137,CHEMBL237,Kappa-type opioid receptor,8.66,8.06,2.2,3,9
165474,CHEMBL100116,PENTAZOCINE,129,CHEMBL233,Mu-type opioid receptor,8.57,7.65,2.7,12,9
165474,CHEMBL100116,PENTAZOCINE,11272,CHEMBL287,Sigma non-opioid intracellular receptor 1,8.33,8.13,4.7,2,9
165474,CHEMBL100116,PENTAZOCINE,136,CHEMBL236,Delta-type opioid receptor,7.21,7.21,62.0,1,9
165474,CHEMBL100116,PENTAZOCINE,117512,CHEMBL4105907,Sigma intracellular receptor 2,5.83,5.8,1465.0,3,9
111482,CHEMBL1002,LEVOSALBUTAMOL,100325,CHEMBL4261,Hypoxia-inducible factor 1-alpha,8.49,7.53,3.2,6,9
111482,CHEMBL1002,LEVOSALBUTAMOL,78,CHEMBL1963,Thyrotropin receptor,6.9,6.19,125.9,7,9
111482,CHEMBL1002,LEVOSALBUTAMOL,43,CHEMBL210,Beta-2 adrenergic receptor,6.84,6.58,144.54,6,9
111482,CHEMBL1002,LEVOSALBUTAMOL,11365,CHEMBL289,Cytochrome P450 2D6,5.9,5.9,1258.9,1,9
112480,CHEMBL1006,AMIFOSTINE,130,CHEMBL234,D(3) dopamine receptor,6.18,5.95,655.0,2,8
112560,CHEMBL1007,GONADORELIN,118,CHEMBL1855,Gonadotropin-releasing hormone receptor,8.0,8.0,10.0,1,8
112651,CHEMBL1008,BEPRIDIL,165,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,7.64,6.51,22.91,14,9
112651,CHEMBL1008,BEPRIDIL,169,CHEMBL1940,Voltage-dependent L-type calcium channel subunit alpha-1C,5.85,5.85,1400.0,1,9
112651,CHEMBL1008,BEPRIDIL,11480,CHEMBL1980,Sodium channel protein type 5 subunit alpha,5.68,5.68,2100.0,1,8
112651,CHEMBL1008,BEPRIDIL,137,CHEMBL237,Kappa-type opioid receptor,5.64,5.64,2300.0,1,8
112651,CHEMBL1008,BEPRIDIL,130,CHEMBL234,D(3) dopamine receptor,5.58,5.58,2600.0,1,8
112655,CHEMBL1009,LEVODOPA,100782,CHEMBL4159,3-hydroxyacyl-CoA dehydrogenase type-2,6.5,6.5,316.2,1,9
112655,CHEMBL1009,LEVODOPA,103069,CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,6.3,6.3,501.2,1,9
112655,CHEMBL1009,LEVODOPA,96,CHEMBL221,Prostaglandin G/H synthase 1,6.17,6.17,670.0,1,8
112655,CHEMBL1009,LEVODOPA,11755,CHEMBL1841,Tyrosine-protein kinase Fyn,5.67,5.67,2146.0,1,8
112655,CHEMBL1009,LEVODOPA,9,CHEMBL203,Epidermal growth factor receptor,5.54,5.54,2880.0,1,8
12417,CHEMBL101,PHENYLBUTAZONE,119104,CHEMBL4523354,Nicotinate phosphoribosyltransferase,10.0,10.0,0.1,1,9
12417,CHEMBL101,PHENYLBUTAZONE,103668,CHEMBL1293235,Prelamin-A/C,8.0,8.0,10.0,1,9
12417,CHEMBL101,PHENYLBUTAZONE,101097,CHEMBL5162,Neuropeptide S receptor,6.5,6.5,316.2,1,9
12417,CHEMBL101,PHENYLBUTAZONE,103069,CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,6.05,6.05,891.3,1,9
12417,CHEMBL101,PHENYLBUTAZONE,11130,CHEMBL3577,Aldehyde dehydrogenase 1A1,5.95,5.95,1122.0,1,9
12417,CHEMBL101,PHENYLBUTAZONE,103665,CHEMBL1293232,Survival motor neuron protein,5.8,5.8,1584.9,1,9
12417,CHEMBL101,PHENYLBUTAZONE,96,CHEMBL221,Prostaglandin G/H synthase 1,5.52,5.52,3000.0,1,8
12417,CHEMBL101,PHENYLBUTAZONE,100782,CHEMBL4159,3-hydroxyacyl-CoA dehydrogenase type-2,5.5,5.5,3162.3,1,9
112665,CHEMBL1010,CEFOTAXIME SODIUM,101476,CHEMBL5619,DNA repair nuclease/redox regulator APEX1,5.65,5.65,2238.7,1,9
112665,CHEMBL1010,CEFOTAXIME SODIUM,103657,CHEMBL1293224,Microtubule-associated protein tau,5.6,5.6,2511.9,1,9
116349,CHEMBL1014,CANDESARTAN CILEXETIL,87,CHEMBL218,Cannabinoid receptor 1,8.92,8.92,1.2,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,115,CHEMBL227,Type-1 angiotensin II receptor,7.88,7.81,13.2,2,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,103947,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,6.4,6.27,400.0,2,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,133,CHEMBL235,Peroxisome proliferator-activated receptor gamma,6.17,6.17,680.0,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,11912,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,6.16,6.16,700.0,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,103660,CHEMBL1293227,Ubiquitin carboxyl-terminal hydrolase 2,6.1,6.1,794.3,1,9
116349,CHEMBL1014,CANDESARTAN CILEXETIL,11359,CHEMBL288,"3',5'-cyclic-AMP phosphodiesterase 4D",5.86,5.86,1393.1,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,246,CHEMBL2069,Thromboxane A2 receptor,5.77,5.77,1691.1,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,280,CHEMBL256,Adenosine receptor A3,5.72,5.72,1903.2,1,8
116349,CHEMBL1014,CANDESARTAN CILEXETIL,104062,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,5.72,5.67,1900.0,2,8
116659,CHEMBL1015,EVANS BLUE FREE ACID,11307,CHEMBL1865,Histone deacetylase 6,5.71,5.71,1955.0,1,9
116949,CHEMBL1017,TELMISARTAN,10692,CHEMBL4607,Type-2 angiotensin II receptor,9.48,9.48,0.33,1,8
116949,CHEMBL1017,TELMISARTAN,115,CHEMBL227,Type-1 angiotensin II receptor,9.31,8.69,0.49,11,9
116949,CHEMBL1017,TELMISARTAN,100611,CHEMBL3491,Cytochrome P450 2J2,7.0,6.53,100.0,5,9
116949,CHEMBL1017,TELMISARTAN,133,CHEMBL235,Peroxisome proliferator-activated receptor gamma,6.16,5.84,700.0,7,9
116949,CHEMBL1017,TELMISARTAN,104062,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,6.02,5.96,960.0,2,8
116949,CHEMBL1017,TELMISARTAN,103947,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,5.99,5.86,1030.0,2,8
116949,CHEMBL1017,TELMISARTAN,101097,CHEMBL5162,Neuropeptide S receptor,5.9,5.9,1258.9,1,9
116949,CHEMBL1017,TELMISARTAN,10472,CHEMBL1901,Cholecystokinin receptor type A,5.62,5.62,2427.4,1,8
116949,CHEMBL1017,TELMISARTAN,129,CHEMBL233,Mu-type opioid receptor,5.59,5.59,2564.1,1,8
116949,CHEMBL1017,TELMISARTAN,125,CHEMBL229,Alpha-1A adrenergic receptor,5.52,5.52,3000.0,1,8
116949,CHEMBL1017,TELMISARTAN,102688,CHEMBL5845,Glycine receptor subunit alpha-1,5.5,5.5,3200.0,1,9
117108,CHEMBL1018,DIENESTROL,19,CHEMBL206,Estrogen receptor,8.46,8.46,3.5,1,8
117108,CHEMBL1018,DIENESTROL,103668,CHEMBL1293235,Prelamin-A/C,8.0,6.85,10.0,2,9
117108,CHEMBL1018,DIENESTROL,25,CHEMBL2034,Glucocorticoid receptor,6.13,6.13,736.3,1,8
117108,CHEMBL1018,DIENESTROL,12911,CHEMBL3397,Cytochrome P450 2C9,6.1,6.1,794.3,2,9
117108,CHEMBL1018,DIENESTROL,12912,CHEMBL3622,Cytochrome P450 2C19,5.5,5.5,3162.28,2,9
118617,CHEMBL1020,TOLMETIN,96,CHEMBL221,Prostaglandin G/H synthase 1,7.39,7.08,41.0,4,9
118617,CHEMBL1020,TOLMETIN,10040,CHEMBL2157,Interleukin-8,7.05,7.05,90.0,1,9
118617,CHEMBL1020,TOLMETIN,126,CHEMBL230,Prostaglandin G/H synthase 2,6.09,6.09,820.0,1,9
118617,CHEMBL1020,TOLMETIN,242,CHEMBL1900,Aldo-keto reductase family 1 member B1,5.62,5.62,2390.0,1,9
119498,CHEMBL1023,BEXAROTENE,275,CHEMBL2061,Retinoic acid receptor RXR-alpha,8.57,7.32,2.7,43,9
119498,CHEMBL1023,BEXAROTENE,277,CHEMBL1870,Retinoic acid receptor RXR-beta,8.23,7.62,5.9,12,9
119498,CHEMBL1023,BEXAROTENE,57,CHEMBL2055,Retinoic acid receptor alpha,8.22,7.49,6.0,2,9
119498,CHEMBL1023,BEXAROTENE,266,CHEMBL2004,Retinoic acid receptor RXR-gamma,8.08,7.55,8.3,13,9
119498,CHEMBL1023,BEXAROTENE,270,CHEMBL2008,Retinoic acid receptor beta,7.3,6.92,50.0,2,9
119498,CHEMBL1023,BEXAROTENE,240,CHEMBL2003,Retinoic acid receptor gamma,6.89,6.54,130.0,2,9
119498,CHEMBL1023,BEXAROTENE,11269,CHEMBL2808,Oxysterols receptor LXR-alpha,6.71,6.71,196.0,1,9
119498,CHEMBL1023,BEXAROTENE,20113,CHEMBL4093,Oxysterols receptor LXR-beta,6.36,6.36,434.0,1,9
119498,CHEMBL1023,BEXAROTENE,125,CHEMBL229,Alpha-1A adrenergic receptor,6.12,6.12,749.7,1,8
119640,CHEMBL1024,IFOSFAMIDE,103668,CHEMBL1293235,Prelamin-A/C,7.25,7.25,56.2,1,9
119717,CHEMBL1025,ISOFLUROPHATE,93,CHEMBL220,Acetylcholinesterase,6.92,6.92,120.0,1,9
121124,CHEMBL1026,FENOLDOPAM MESYLATE,103985,CHEMBL1741189,FAD-linked sulfhydryl oxidase ALR,5.86,5.86,1373.0,1,8
121124,CHEMBL1026,FENOLDOPAM MESYLATE,101361,CHEMBL5857,Trace amine-associated receptor 1,5.57,5.57,2703.0,1,8
122170,CHEMBL1027,TIAGABINE,113,CHEMBL1903,Sodium- and chloride-dependent GABA transporter 1,7.77,7.03,16.98,8,9
122901,CHEMBL1029,MIGLUSTAT,11815,CHEMBL3761,Beta-glucosidase,7.85,6.8,14.0,7,9
122901,CHEMBL1029,MIGLUSTAT,10977,CHEMBL2608,Lysosomal alpha-glucosidase,7.0,6.9,100.0,3,9
122901,CHEMBL1029,MIGLUSTAT,11997,CHEMBL2748,"Sucrase-isomaltase, intestinal",6.3,6.3,500.0,1,8
122901,CHEMBL1029,MIGLUSTAT,1,CHEMBL2074,Maltase-glucoamylase,5.68,5.68,2100.0,1,8
12825,CHEMBL103,PROGESTERONE,36,CHEMBL208,Progesterone receptor,10.0,8.6,0.1,43,9
12825,CHEMBL103,PROGESTERONE,48,CHEMBL1994,Mineralocorticoid receptor,9.41,8.05,0.39,6,9
12825,CHEMBL103,PROGESTERONE,56,CHEMBL1871,Androgen receptor,8.07,7.77,8.5,14,9
12825,CHEMBL103,PROGESTERONE,25,CHEMBL2034,Glucocorticoid receptor,7.52,7.21,30.5,10,9
12825,CHEMBL103,PROGESTERONE,10503,CHEMBL2421,Corticosteroid-binding globulin,7.38,7.38,41.69,1,8
12825,CHEMBL103,PROGESTERONE,12643,CHEMBL3305,Sex hormone-binding globulin,6.94,6.94,114.82,1,9
12825,CHEMBL103,PROGESTERONE,11272,CHEMBL287,Sigma non-opioid intracellular receptor 1,6.58,5.99,260.0,3,8
12825,CHEMBL103,PROGESTERONE,11904,CHEMBL2998,P2X purinoceptor 3,5.8,5.8,1600.0,1,9
12825,CHEMBL103,PROGESTERONE,103665,CHEMBL1293232,Survival motor neuron protein,5.7,5.7,1995.3,1,9
12825,CHEMBL103,PROGESTERONE,100857,CHEMBL5409,G-protein coupled bile acid receptor 1,5.56,5.56,2770.0,1,9
12825,CHEMBL103,PROGESTERONE,101283,CHEMBL5685,Solute carrier family 22 member 1,5.52,5.52,3050.0,1,8
123693,CHEMBL1034,DICLOFENAC SODIUM,126,CHEMBL230,Prostaglandin G/H synthase 2,8.89,6.44,1.3,8,9
123693,CHEMBL1034,DICLOFENAC SODIUM,103670,CHEMBL1293237,RecQ-like DNA helicase BLM,8.6,8.6,2.5,2,9
123693,CHEMBL1034,DICLOFENAC SODIUM,96,CHEMBL221,Prostaglandin G/H synthase 1,8.52,8.46,3.0,2,9
123693,CHEMBL1034,DICLOFENAC SODIUM,12911,CHEMBL3397,Cytochrome P450 2C9,5.8,5.8,1584.89,2,9
123693,CHEMBL1034,DICLOFENAC SODIUM,100481,CHEMBL4681,Aldo-keto reductase family 1 member C3,5.58,5.58,2600.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,65,CHEMBL1978,Aromatase,8.74,8.74,1.8,1,9
13494,CHEMBL104,CLOTRIMAZOLE,103668,CHEMBL1293235,Prelamin-A/C,8.35,8.35,4.5,1,9
13494,CHEMBL104,CLOTRIMAZOLE,248,CHEMBL1835,Thromboxane-A synthase,7.85,7.85,14.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,12911,CHEMBL3397,Cytochrome P450 2C9,7.8,6.61,16.0,6,9
13494,CHEMBL104,CLOTRIMAZOLE,12912,CHEMBL3622,Cytochrome P450 2C19,7.8,7.8,16.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,17045,CHEMBL340,Cytochrome P450 3A4,7.8,7.24,16.0,14,9
13494,CHEMBL104,CLOTRIMAZOLE,10992,CHEMBL4305,Intermediate conductance calcium-activated potassium channel protein 4,7.16,6.92,70.0,3,9
13494,CHEMBL104,CLOTRIMAZOLE,100997,CHEMBL5503,Nuclear receptor subfamily 1 group I member 3,7.1,6.79,80.0,5,9
13494,CHEMBL104,CLOTRIMAZOLE,12949,CHEMBL3522,"Steroid 17-alpha-hydroxylase/17,20 lyase",7.09,7.09,81.5,1,9
13494,CHEMBL104,CLOTRIMAZOLE,11188,CHEMBL3849,Lanosterol 14-alpha demethylase,6.89,6.89,130.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,169,CHEMBL1940,Voltage-dependent L-type calcium channel subunit alpha-1C,6.23,6.23,590.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,129,CHEMBL233,Mu-type opioid receptor,6.14,5.94,731.0,2,8
13494,CHEMBL104,CLOTRIMAZOLE,137,CHEMBL237,Kappa-type opioid receptor,6.13,5.87,745.7,2,8
13494,CHEMBL104,CLOTRIMAZOLE,119244,CHEMBL4523494,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,6.1,6.1,800.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,10163,CHEMBL3721,Cytochrome P450 2C8,6.09,6.09,803.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,130,CHEMBL234,D(3) dopamine receptor,6.05,5.81,899.0,2,8
13494,CHEMBL104,CLOTRIMAZOLE,11365,CHEMBL289,Cytochrome P450 2D6,6.05,6.05,883.0,1,9
