drug_internal_id,protein_id,pchembl_max,pchembl_avg,num_measurements,edge_type
111185,CHEMBL231,8.23,7.5,12,binds_to
111185,CHEMBL1941,5.73,5.73,1,binds_to
111185,CHEMBL224,5.67,5.67,1,binds_to
165474,CHEMBL237,8.66,8.06,3,binds_to
165474,CHEMBL233,8.57,7.65,12,binds_to
165474,CHEMBL287,8.33,8.13,2,binds_to
165474,CHEMBL236,7.21,7.21,1,binds_to
165474,CHEMBL4105907,5.83,5.8,3,binds_to
111482,CHEMBL4261,8.49,7.53,6,binds_to
111482,CHEMBL1963,6.9,6.19,7,binds_to
111482,CHEMBL210,6.84,6.58,6,binds_to
111482,CHEMBL289,5.9,5.9,1,binds_to
112480,CHEMBL234,6.18,5.95,2,binds_to
112560,CHEMBL1855,8.0,8.0,1,binds_to
112651,CHEMBL240,7.64,6.51,14,binds_to
112651,CHEMBL1940,5.85,5.85,1,binds_to
112651,CHEMBL1980,5.68,5.68,1,binds_to
112651,CHEMBL237,5.64,5.64,1,binds_to
112651,CHEMBL234,5.58,5.58,1,binds_to
112655,CHEMBL4159,6.5,6.5,1,binds_to
112655,CHEMBL1075138,6.3,6.3,1,binds_to
112655,CHEMBL221,6.17,6.17,1,binds_to
112655,CHEMBL1841,5.67,5.67,1,binds_to
112655,CHEMBL203,5.54,5.54,1,binds_to
12417,CHEMBL4523354,10.0,10.0,1,binds_to
12417,CHEMBL1293235,8.0,8.0,1,binds_to
12417,CHEMBL5162,6.5,6.5,1,binds_to
12417,CHEMBL1075138,6.05,6.05,1,binds_to
12417,CHEMBL3577,5.95,5.95,1,binds_to
12417,CHEMBL1293232,5.8,5.8,1,binds_to
12417,CHEMBL221,5.52,5.52,1,binds_to
12417,CHEMBL4159,5.5,5.5,1,binds_to
112665,CHEMBL5619,5.65,5.65,1,binds_to
112665,CHEMBL1293224,5.6,5.6,1,binds_to
116349,CHEMBL218,8.92,8.92,1,binds_to
116349,CHEMBL227,7.88,7.81,2,binds_to
116349,CHEMBL1697668,6.4,6.27,2,binds_to
116349,CHEMBL235,6.17,6.17,1,binds_to
116349,CHEMBL3401,6.16,6.16,1,binds_to
116349,CHEMBL1293227,6.1,6.1,1,binds_to
116349,CHEMBL288,5.86,5.86,1,binds_to
116349,CHEMBL2069,5.77,5.77,1,binds_to
116349,CHEMBL256,5.72,5.72,1,binds_to
116349,CHEMBL1743121,5.72,5.67,2,binds_to
116659,CHEMBL1865,5.71,5.71,1,binds_to
116949,CHEMBL4607,9.48,9.48,1,binds_to
116949,CHEMBL227,9.31,8.69,11,binds_to
116949,CHEMBL3491,7.0,6.53,5,binds_to
116949,CHEMBL235,6.16,5.84,7,binds_to
116949,CHEMBL1743121,6.02,5.96,2,binds_to
116949,CHEMBL1697668,5.99,5.86,2,binds_to
116949,CHEMBL5162,5.9,5.9,1,binds_to
116949,CHEMBL1901,5.62,5.62,1,binds_to
116949,CHEMBL233,5.59,5.59,1,binds_to
116949,CHEMBL229,5.52,5.52,1,binds_to
116949,CHEMBL5845,5.5,5.5,1,binds_to
117108,CHEMBL206,8.46,8.46,1,binds_to
117108,CHEMBL1293235,8.0,6.85,2,binds_to
117108,CHEMBL2034,6.13,6.13,1,binds_to
117108,CHEMBL3397,6.1,6.1,2,binds_to
117108,CHEMBL3622,5.5,5.5,2,binds_to
118617,CHEMBL221,7.39,7.08,4,binds_to
118617,CHEMBL2157,7.05,7.05,1,binds_to
118617,CHEMBL230,6.09,6.09,1,binds_to
118617,CHEMBL1900,5.62,5.62,1,binds_to
119498,CHEMBL2061,8.57,7.32,43,binds_to
119498,CHEMBL1870,8.23,7.62,12,binds_to
119498,CHEMBL2055,8.22,7.49,2,binds_to
119498,CHEMBL2004,8.08,7.55,13,binds_to
119498,CHEMBL2008,7.3,6.92,2,binds_to
119498,CHEMBL2003,6.89,6.54,2,binds_to
119498,CHEMBL2808,6.71,6.71,1,binds_to
119498,CHEMBL4093,6.36,6.36,1,binds_to
119498,CHEMBL229,6.12,6.12,1,binds_to
119640,CHEMBL1293235,7.25,7.25,1,binds_to
119717,CHEMBL220,6.92,6.92,1,binds_to
121124,CHEMBL1741189,5.86,5.86,1,binds_to
121124,CHEMBL5857,5.57,5.57,1,binds_to
122170,CHEMBL1903,7.77,7.03,8,binds_to
122901,CHEMBL3761,7.85,6.8,7,binds_to
122901,CHEMBL2608,7.0,6.9,3,binds_to
122901,CHEMBL2748,6.3,6.3,1,binds_to
122901,CHEMBL2074,5.68,5.68,1,binds_to
12825,CHEMBL208,10.0,8.6,43,binds_to
12825,CHEMBL1994,9.41,8.05,6,binds_to
12825,CHEMBL1871,8.07,7.77,14,binds_to
12825,CHEMBL2034,7.52,7.21,10,binds_to
12825,CHEMBL2421,7.38,7.38,1,binds_to
12825,CHEMBL3305,6.94,6.94,1,binds_to
12825,CHEMBL287,6.58,5.99,3,binds_to
12825,CHEMBL2998,5.8,5.8,1,binds_to
12825,CHEMBL1293232,5.7,5.7,1,binds_to
12825,CHEMBL5409,5.56,5.56,1,binds_to
12825,CHEMBL5685,5.52,5.52,1,binds_to
123693,CHEMBL230,8.89,6.44,8,binds_to
123693,CHEMBL1293237,8.6,8.6,2,binds_to
123693,CHEMBL221,8.52,8.46,2,binds_to
123693,CHEMBL3397,5.8,5.8,2,binds_to
123693,CHEMBL4681,5.58,5.58,1,binds_to
13494,CHEMBL1978,8.74,8.74,1,binds_to
13494,CHEMBL1293235,8.35,8.35,1,binds_to
13494,CHEMBL1835,7.85,7.85,1,binds_to
13494,CHEMBL3397,7.8,6.61,6,binds_to
13494,CHEMBL3622,7.8,7.8,1,binds_to
13494,CHEMBL340,7.8,7.24,14,binds_to
13494,CHEMBL4305,7.16,6.92,3,binds_to
13494,CHEMBL5503,7.1,6.79,5,binds_to
13494,CHEMBL3522,7.09,7.09,1,binds_to
13494,CHEMBL3849,6.89,6.89,1,binds_to
13494,CHEMBL1940,6.23,6.23,1,binds_to
13494,CHEMBL233,6.14,5.94,2,binds_to
13494,CHEMBL237,6.13,5.87,2,binds_to
13494,CHEMBL4523494,6.1,6.1,1,binds_to
13494,CHEMBL3721,6.09,6.09,1,binds_to
13494,CHEMBL234,6.05,5.81,2,binds_to
13494,CHEMBL289,6.05,6.05,1,binds_to
13494,CHEMBL3356,5.9,5.9,1,binds_to
13494,CHEMBL4302,5.89,5.89,1,binds_to
13494,CHEMBL1075145,5.85,5.85,1,binds_to
13494,CHEMBL2034,5.83,5.83,1,binds_to
13494,CHEMBL2414,5.8,5.8,1,binds_to
13494,CHEMBL1821,5.79,5.79,1,binds_to
13494,CHEMBL216,5.78,5.78,1,binds_to
13494,CHEMBL236,5.76,5.76,1,binds_to
13494,CHEMBL4029,5.7,5.7,2,binds_to
13494,CHEMBL245,5.68,5.68,1,binds_to
13494,CHEMBL1790,5.6,5.58,2,binds_to
13494,CHEMBL256,5.57,5.54,2,binds_to
13494,CHEMBL3401,5.57,5.57,1,binds_to
