rank,drug_id,drug_name,score,raw_score,status
1,CHEMBL1200383,BENZTROPINE MESYLATE,1.0,2.691,known
2,CHEMBL493,BROMOCRIPTINE,0.9903,2.5653,known
3,CHEMBL1206,ETHOPROPAZINE,0.9901,2.5626,known
4,CHEMBL1201023,ORPHENADRINE HYDROCHLORIDE,0.9874,2.5287,known
5,CHEMBL6067988,RASAGILINE TARTRATE,0.9848,2.4944,known
6,CHEMBL1490,TRIHEXYPHENIDYL,0.9832,2.4737,known
7,CHEMBL887,RASAGILINE,0.9702,2.3059,known
8,CHEMBL1201342,METHIXENE,0.9678,2.2758,known
9,CHEMBL48582,SAFINAMIDE MESYLATE,0.9657,2.2477,known
10,CHEMBL86715,PROCYCLIDINE,0.964,2.2267,known
11,CHEMBL589,ROPINIROLE,0.9617,2.1963,known
12,CHEMBL531,PERGOLIDE,0.9602,2.1771,known
13,CHEMBL396778,SAFINAMIDE,0.9568,2.1328,known
14,CHEMBL1009,LEVODOPA,0.9512,2.0603,known
15,CHEMBL1101,BIPERIDEN,0.9503,2.0494,known
16,CHEMBL1201142,RASAGILINE MESYLATE,0.9457,1.9905,known
17,CHEMBL431770,ISTRADEFYLLINE,0.9432,1.9576,known
18,CHEMBL1089318,OPICAPONE,0.9428,1.9524,known
19,CHEMBL2448613,PIMAVANSERIN TARTRATE,0.9228,1.6941,known
20,CHEMBL1201203,BENZTROPINE,0.9182,1.6345,known
21,CHEMBL1324,TOLCAPONE,0.8983,1.378,known
22,CHEMBL3187985,APOMORPHINE HYDROCHLORIDE,0.8975,1.3673,known
23,CHEMBL1201092,RIVASTIGMINE TARTRATE,0.8953,1.3395,known
24,CHEMBL1395,METHYLTESTOSTERONE,0.8926,1.3039,novel
25,CHEMBL953,ENTACAPONE,0.8921,1.2982,known
26,CHEMBL972,SELEGILINE,0.8909,1.2826,known
27,CHEMBL53,APOMORPHINE,0.8873,1.2364,known
28,CHEMBL660,AMANTADINE,0.879,1.1283,known
29,CHEMBL1200411,ROPINIROLE HYDROCHLORIDE,0.875,1.0769,known
30,CHEMBL3301611,AMIFAMPRIDINE PHOSPHATE,0.8729,1.0502,novel
31,CHEMBL717,MEDROXYPROGESTERONE ACETATE,0.8654,0.953,novel
32,CHEMBL1201087,CABERGOLINE,0.8625,0.916,known
33,CHEMBL1303,ROTIGOTINE,0.8583,0.8608,known
34,CHEMBL3833373,AVELUMAB,0.8536,0.8013,novel
35,CHEMBL3989517,IOFLUPANE I 123,0.8524,0.7845,known
36,CHEMBL3182733,PRAMIPEXOLE DIHYDROCHLORIDE,0.8521,0.7807,known
37,CHEMBL1091,HYDROCORTISONE ACETATE,0.8511,0.7682,novel
38,CHEMBL301265,PRAMIPEXOLE,0.8463,0.7059,known
39,CHEMBL1908360,EVEROLIMUS,0.8446,0.6844,novel
40,CHEMBL1200908,HALOBETASOL PROPIONATE,0.8408,0.6351,novel
41,CHEMBL636,RIVASTIGMINE,0.8395,0.6183,known
42,CHEMBL256087,MENTHOL,0.8388,0.6097,novel
43,CHEMBL2146146,ATROPINE SULFATE,0.824,0.4184,known
44,CHEMBL1709,SERTRALINE HYDROCHLORIDE,0.8211,0.3804,novel
45,CHEMBL1201129,DECITABINE,0.8137,0.2855,novel
46,CHEMBL1743079,TEPROTUMUMAB,0.813,0.277,novel
47,CHEMBL2096639,BACITRACIN ZINC,0.8103,0.2416,novel
48,CHEMBL1445,FLUOXYMESTERONE,0.8102,0.2404,novel
49,CHEMBL1743034,IXEKIZUMAB,0.8079,0.2107,novel
50,CHEMBL3181947,BROMFENAC SODIUM,0.8074,0.2042,novel
51,CHEMBL386630,TESTOSTERONE,0.8061,0.1872,novel
52,CHEMBL1201835,USTEKINUMAB,0.8039,0.1584,novel
53,CHEMBL539,ACETIC ACID,0.8008,0.1187,novel
54,CHEMBL1200980,ESTROPIPATE,0.8007,0.118,novel
55,CHEMBL1200335,TESTOSTERONE ENANTHATE,0.7998,0.1059,novel
56,CHEMBL1541,CEFIXIME,0.7993,0.1,novel
57,CHEMBL1164729,FEBUXOSTAT,0.7981,0.0837,novel
58,CHEMBL1201649,"ESTROGENS, CONJUGATED",0.796,0.0573,novel
59,CHEMBL1200503,BROMOCRIPTINE MESYLATE,0.796,0.0569,known
60,CHEMBL4297911,SPESOLIMAB,0.7942,0.0339,novel
61,CHEMBL427,MECHLORETHAMINE,0.7923,0.0096,novel
62,CHEMBL1200748,CARBIDOPA,0.7913,-0.0034,known
63,CHEMBL1201834,CANAKINUMAB,0.7908,-0.0103,novel
64,CHEMBL1201572,ETANERCEPT,0.7906,-0.0135,novel
65,CHEMBL514800,APREMILAST,0.7901,-0.0193,novel
66,CHEMBL135,ESTRADIOL,0.7891,-0.0319,novel
67,CHEMBL2108681,TILDRAKIZUMAB,0.7888,-0.0356,novel
68,CHEMBL2103868,CABOZANTINIB S-MALATE,0.7887,-0.0379,novel
69,CHEMBL1201830,RILONACEPT,0.7886,-0.0388,novel
70,CHEMBL1201594,RASBURICASE,0.7879,-0.0472,novel
71,CHEMBL259571,TAPINAROF,0.7852,-0.0825,novel
72,CHEMBL1201182,TEMSIROLIMUS,0.785,-0.0845,novel
73,CHEMBL1670,MITOTANE,0.7814,-0.131,novel
74,CHEMBL343448,ROMIDEPSIN,0.7812,-0.1342,novel
75,CHEMBL4297700,BIMEKIZUMAB,0.7807,-0.1412,novel
76,CHEMBL582,ISOPROPYL ALCOHOL,0.7782,-0.1725,novel
77,CHEMBL3545253,FLORTAUCIPIR F 18,0.7776,-0.1807,novel
78,CHEMBL1201468,"ESTROGENS, ESTERIFIED",0.7764,-0.1967,novel
79,CHEMBL3622821,UPADACITINIB,0.7762,-0.1994,novel
80,CHEMBL535,SUNITINIB,0.7758,-0.2041,novel
81,CHEMBL1766,DESOXIMETASONE,0.7757,-0.2049,novel
82,CHEMBL1201101,TESTOSTERONE CYPIONATE,0.7755,-0.2084,novel
83,CHEMBL4297981,IMLIFIDASE,0.7735,-0.2332,novel
84,CHEMBL1450,ATOVAQUONE,0.7733,-0.2366,novel
85,CHEMBL1659,CHLORPHENIRAMINE MALEATE,0.7722,-0.2511,novel
86,CHEMBL1742996,BRODALUMAB,0.7709,-0.2669,novel
87,CHEMBL3833384,EFLAPEGRASTIM,0.7706,-0.2714,novel
88,CHEMBL4297533,BREMELANOTIDE ACETATE,0.77,-0.2788,novel
89,CHEMBL389621,HYDROCORTISONE,0.77,-0.2791,novel
90,CHEMBL2095206,BOSUTINIB MONOHYDRATE,0.769,-0.2919,novel
91,CHEMBL535650,MEFLOQUINE HYDROCHLORIDE,0.7672,-0.3154,novel
92,CHEMBL1200485,SORAFENIB TOSYLATE,0.7654,-0.338,novel
93,CHEMBL1743041,MOGAMULIZUMAB,0.7646,-0.3492,novel
94,CHEMBL231068,FLIBANSERIN,0.7638,-0.3588,novel
95,CHEMBL1642,IMATINIB MESYLATE,0.7636,-0.3614,novel
96,CHEMBL4297955,FOLLITROPIN,0.7617,-0.3866,novel
97,CHEMBL1201198,PEMIROLAST,0.7603,-0.4042,novel
