drug_chembl_id,drug_name,effect_id,effect_name,similarity
CHEMBL1257040,TRIFLUOPERAZINE HYDROCHLORIDE,D001714,Bipolar Disorder,0.545596
CHEMBL198362,RIVAROXABAN,D009203,Myocardial Infarction,0.5439486
CHEMBL435298,ESFLURBIPROFEN,D012216,Rheumatic Diseases,0.53732586
CHEMBL1201782,FOSAPREPITANT DIMEGLUMINE,D009325,Nausea,0.5282381
CHEMBL1709,SERTRALINE HYDROCHLORIDE,D016584,Panic Disorder,0.52576035
CHEMBL1200470,ESOMEPRAZOLE SODIUM,D015043,Zollinger-Ellison Syndrome,0.5249922
CHEMBL1951071,ARFORMOTEROL TARTRATE,D001986,Bronchial Spasm,0.51872176
CHEMBL1744447,ROSUVASTATIN CALCIUM,D050171,Dyslipidemias,0.5174923
CHEMBL2110372,RANITIDINE HYDROCHLORIDE,D004941,Esophagitis,0.5167754
CHEMBL1138,EZETIMIBE,D050171,Dyslipidemias,0.5112109
CHEMBL1201002,CARTEOLOL HYDROCHLORIDE,D009798,Ocular Hypertension,0.50021476
CHEMBL3707246,OZANIMOD HYDROCHLORIDE,D003424,Crohn Disease,0.49325937
CHEMBL4297088,CHLORHEXIDINE GLUCONATE,D003731,Dental Caries,0.49153596
CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,D013920,"Thrombocythemia, Essential",0.49133992
CHEMBL1083385,CLOPIDOGREL BISULFATE,D011655,Pulmonary Embolism,0.49014294
CHEMBL1027,TIAGABINE,D012640,Seizures,0.48950252
CHEMBL2110372,RANITIDINE HYDROCHLORIDE,D005764,Gastroesophageal Reflux,0.48923716
CHEMBL572,NITROFURANTOIN,D011704,Pyelonephritis,0.4890899
CHEMBL503,LOVASTATIN,D050171,Dyslipidemias,0.48880434
CHEMBL1059,PREGABALIN,D001007,Anxiety,0.4883793
CHEMBL2105395,OSPEMIFENE,D016649,Primary Ovarian Insufficiency,0.48489913
CHEMBL2105662,LOMITAPIDE MESYLATE,D050171,Dyslipidemias,0.48404413
CHEMBL5314378,CASPOFUNGIN ACETATE,D016919,"Meningitis, Cryptococcal",0.48210338
CHEMBL2218894,FLUVASTATIN SODIUM,D050171,Dyslipidemias,0.48126566
CHEMBL3989844,DEXTROAMPHETAMINE SACCHARATE,D020181,"Sleep Apnea, Obstructive",0.48038968
CHEMBL501,AMPHETAMINE SULFATE,D020181,"Sleep Apnea, Obstructive",0.4802664
CHEMBL1650,CORTISONE ACETATE,D013167,"Spondylitis, Ankylosing",0.48004442
CHEMBL1213250,CEFTOLOZANE SULFATE,D011704,Pyelonephritis,0.47739014
CHEMBL1200402,AMLODIPINE BESYLATE,D050171,Dyslipidemias,0.47715414
CHEMBL1364144,METHYLPREDNISOLONE ACETATE,D013167,"Spondylitis, Ankylosing",0.4765048
CHEMBL406393,DEOXYCHOLIC ACID,D008105,"Liver Cirrhosis, Biliary",0.4760623
CHEMBL3544971,DEXTROAMPHETAMINE SULFATE,D020181,"Sleep Apnea, Obstructive",0.4735379
CHEMBL149972,PHENOBARBITAL SODIUM,D065768,Lennox Gastaut Syndrome,0.47247866
CHEMBL1650,CORTISONE ACETATE,D006255,"Rhinitis, Allergic, Seasonal",0.46704072
CHEMBL4650272,TRILACICLIB DIHYDROCHLORIDE,D018288,"Carcinoma, Small Cell",0.46695238
CHEMBL1201782,FOSAPREPITANT DIMEGLUMINE,D000855,Anorexia,0.46403712
CHEMBL3989923,PITAVASTATIN MAGNESIUM,D006938,Hyperlipoproteinemia Type II,0.46182984
CHEMBL1650,CORTISONE ACETATE,D009205,Myocarditis,0.4610492
CHEMBL1439,TAZOBACTAM SODIUM,D011704,Pyelonephritis,0.46001813
CHEMBL1441059,ALBUTEROL SULFATE,D008173,"Lung Diseases, Obstructive",0.45689774
CHEMBL650,METHYLPREDNISOLONE,D009879,"Ophthalmia, Sympathetic",0.45684493
CHEMBL1200804,DICLOFENAC POTASSIUM,D013166,Spondylitis,0.45582262
CHEMBL444633,RIFABUTIN,D001327,Autoimmune Diseases,0.45484185
CHEMBL5314378,CASPOFUNGIN ACETATE,D009091,Mucormycosis,0.45365286
CHEMBL137,METRONIDAZOLE,D012141,Respiratory Tract Infections,0.45224336
CHEMBL675,ALENDRONATE SODIUM,D001847,Bone Diseases,0.45178664
CHEMBL1269025,EDOXABAN,D054556,Venous Thromboembolism,0.4506775
CHEMBL1200865,LOTEPREDNOL ETABONATE,D006255,"Rhinitis, Allergic, Seasonal",0.44942963
CHEMBL1790041,RANITIDINE,D004381,Duodenal Ulcer,0.44910604
CHEMBL89598,VIGABATRIN,D012640,Seizures,0.44849676
